,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,3.2210118157040307E-4,0.0019362952708907818,0.005930595801128338,0.00149617228233275,0.002988656383197137,0.002030958595245442,0.0014457671355984504,0.0040926520360605794,0.0015244483402568696,8.974574906350926E-4,0.006580945133383083,0.008032859238095472,0.0045782625960617595,0.007523890195461324,0.0012146410969143444,0.002905057603247567,0.0036267117772240043,0.005772003997988712,0.005888796411153552,5.249511623303898E-4,4.99133892051846E-4,0.0017113162013206147,2.8398997306398134E-4,0.0014273262282566335,0.0010732608072937476,3.110366371653129E-4,0.0,0.0,3.343951197982811E-4,0.0012564404868891297,0.002927186692057747
б,0.001015479297622721,1.807208919498063E-4,7.991059848120687E-5,1.8440907341816972E-5,2.458787645575596E-5,0.002823917610943572,2.5817270278543758E-5,9.835150582302385E-6,0.001101536865217867,0.0,1.9793240546883548E-4,0.0012379995795473125,5.532272202545091E-5,4.5733450207706086E-4,0.003438614522337471,2.3358482632968163E-5,0.001551495004358201,2.5202573367149857E-4,2.3358482632968163E-5,0.0012453759424840393,0.0,7.745181083563128E-5,2.950545174690715E-5,2.0899694987392567E-5,3.073484556969495E-5,1.9916179929162328E-4,0.003682034499249455,2.016205869371989E-4,6.76166602533289E-5,2.458787645575596E-6,4.708578341277266E-4
в,0.006976809944320754,3.048896680513739E-4,5.802738843558407E-4,3.4177148273500783E-4,7.142778110397107E-4,0.006198603654496078,4.302878379757293E-5,7.179659925080741E-4,0.00398077719818689,1.229393822787798E-6,9.036044597490315E-4,0.0012527523054207661,3.9832359858324657E-4,0.0021834034292711295,0.008723778566502215,0.0010929311084583524,0.0010867841393444135,0.004101257792820094,8.470523439007929E-4,9.417156682554532E-4,2.8276057924119353E-5,9.466332435466045E-5,7.499302319005568E-5,2.1637331281065245E-4,0.0011679241316484082,1.721151351902917E-5,0.0029419394179312007,1.6227998460798933E-4,3.134954248108885E-4,2.5817270278543758E-5,3.65129965367976E-4
г,0.0014998604638011136,6.14696911393899E-5,1.4506847108896017E-4,6.26990849621777E-5,0.001338809873015912,5.224923746848142E-4,1.229393822787798E-6,5.286393437987532E-5,0.0010929311084583524,0.0,1.6227998460798933E-4,0.0020235822323087156,5.778150967102651E-5,5.17574799393663E-4,0.009757698771466754,8.605756759514586E-5,0.0015010898576239013,1.4998604638011135E-4,4.917575291151192E-5,7.831238651158273E-4,8.605756759514585E-6,1.229393822787798E-5,0.0,3.6881814683633944E-5,9.835150582302385E-6,0.0,2.458787645575596E-6,0.0,8.605756759514585E-6,2.458787645575596E-6,8.605756759514585E-6
д,0.004825370754442108,1.0081029346859944E-4,0.001095389896103928,8.359877994957027E-5,6.884605407611668E-5,0.004789718333581261,1.364627143294456E-4,8.851635524072146E-5,0.003098072433425251,0.0,4.6471086501378766E-4,8.593462821286708E-4,1.5736240931683816E-4,0.0024981282479048057,0.004085275673123853,2.5571391513986197E-4,0.0016264880275482568,6.171556990394746E-4,3.171836062792519E-4,0.0019485892091186598,3.073484556969495E-5,7.499302319005568E-5,2.1145573751950127E-4,9.589271817744824E-5,9.097514288629705E-5,1.229393822787798E-6,8.974574906350926E-4,6.773959963560768E-4,5.040514673429972E-5,3.442302703805834E-5,4.044705676971856E-4
е,3.71276934481915E-4,0.002136686464005193,0.003768092066844601,0.004495893209934977,0.004263537777428083,0.0017383628654219464,0.0012576698807119173,0.0019867004176250818,0.0014101147147376042,0.0026087736919557076,0.0027599891321586066,0.007057949936624748,0.0055310428087223034,0.009953172389290013,0.0016547640854723761,0.003432467553223532,0.008036547419563835,0.0069682041875612395,0.006545292712522237,7.278011430903764E-4,9.097514288629705E-5,9.392568806098777E-4,4.770048032416656E-4,0.0017051692322066758,9.146690041541217E-4,8.027941662804321E-4,0.0,0.0,3.614417838996126E-4,2.2620846339295483E-4,4.2537026268457814E-4
ж,0.0012220174598510712,5.1634540557087516E-5,2.5817270278543758E-5,2.458787645575596E-5,8.999162782806681E-4,0.003962336290845073,1.5982119696241373E-5,4.917575291151192E-6,0.0015207601587885061,0.0,9.835150582302384E-5,1.1064544405090182E-5,4.302878379757293E-5,0.001181447463699074,1.1433362551926521E-4,1.4752725873453576E-5,1.229393822787798E-5,3.1964239392482746E-5,1.721151351902917E-5,2.016205869371989E-4,2.458787645575596E-6,2.458787645575596E-6,1.229393822787798E-6,2.3358482632968163E-5,0.0,0.0,0.0,7.745181083563128E-5,9.835150582302385E-6,4.917575291151192E-6,6.14696911393899E-6
з,0.005156077692772025,2.9259572982349595E-4,0.0011052250466862304,5.114278302797239E-4,0.0010732608072937476,3.9217662946930756E-4,1.315451390382944E-4,1.0081029346859944E-4,4.5979328972263646E-4,2.458787645575596E-6,3.2701875686155427E-4,3.134954248108885E-4,5.335569190899044E-4,0.0018281086144854557,9.785974829390873E-4,1.7211513519029172E-4,3.65129965367976E-4,2.0530876840556226E-4,1.0449847493696283E-4,4.942163167606948E-4,8.605756759514585E-6,3.688181468363394E-6,1.967030116460477E-5,4.917575291151192E-5,1.4752725873453576E-5,0.0,5.593741893684481E-4,5.052808611657849E-4,3.442302703805834E-5,5.778150967102651E-5,3.4300087655779563E-4
и,5.532272202545091E-4,0.0015269071279024452,0.004885611051758709,0.0011802180698762862,0.0025645155143353467,0.003303381201830813,5.827326720014163E-4,0.003036602742285861,0.0020789049543341663,0.0018047501318524874,0.003766862673021813,0.004998715283455186,0.004181168391301301,0.0057830685423938015,0.0018342555835993946,0.0025571391513986197,0.001539201066130323,0.0052458234418355345,0.006614138766598354,5.114278302797239E-4,2.0284998075998666E-4,0.002294048873322031,9.994971779264798E-4,0.0018969546685615724,6.687902395965622E-4,2.9136633600070815E-4,0.0,1.229393822787798E-6,2.9259572982349595E-4,3.4545966420337123E-4,0.001930148301776843
й,2.0530876840556226E-4,4.5241692678590965E-4,8.052529539260077E-4,4.1922329357063913E-4,6.786253901788646E-4,1.1187483787368963E-4,1.7580331665865512E-4,2.3112603868410603E-4,6.196144866850502E-4,0.0,0.0010056441470404189,3.2210118157040307E-4,5.384744943810556E-4,0.0011962001895725275,6.171556990394746E-4,0.0010191674790910846,4.474993514947585E-4,0.0017076280198522515,7.228835677992252E-4,2.1145573751950127E-4,1.4138028962059677E-4,7.253423554448009E-5,1.880972548865331E-4,3.77423903595854E-4,2.6800785336774E-4,7.376362936726788E-6,0.0,0.0,1.0818665640532622E-4,1.8440907341816972E-5,8.851635524072146E-5
