Source,Length,Error,Entropy,Entropy Bigram,Extended Forbidden,Extended Bigram Forbidden,Extended Forbidden Frequencies,Extended Forbidden Bigram Frequencies,Extended Frequent,Extended Bigram Frequent,Extended Frequent Frequencies,Extended Frequent Bigram Frequencies,Forbidden,Forbidden Bigram,Forbidden Frequencies,Forbidden Bigram Frequencies,Frequent,Frequent Bigram,Frequent Frequencies,Frequent Bigram Frequencies,Correspondence,Correspondence Bigram
Origin,10,False positive,1.0,1.0,0.0246,0.0,1.0E-4,0.0,0.1856,1.0,0.2935,0.1312,0.2435,0.0,0.0,0.0,0.9915,1.0,0.0013,0.4884,0.9203,0.038
Origin,100,False positive,0.148,1.0,0.657,0.0,0.099,0.17,0.0,0.586,0.255,0.254,0.93,0.0,0.001,0.0,0.003,1.0,0.003,0.0,0.992,0.909
Origin,1000,False positive,0.001,1.0,1.0,0.0,0.204,0.225,0.0,0.0,0.261,0.295,1.0,0.001,0.002,0.0,0.0,0.087,0.008,0.001,0.687,0.125
Origin,10000,False positive,0.0,0.02,1.0,0.0,0.24,0.25,0.0,0.0,0.24,0.35,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.02
Origin,100000,False positive,0.0,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vigenere (1),10,False negative,0.0,0.0,0.17169999999999996,1.0,0.852,0.9941,0.07569999999999999,0.0,0.9977,0.9987,0.021199999999999997,0.9093,0.9987,1.0,9.999999999998899E-5,0.0,0.5998,0.047699999999999965,0.08209999999999995,0.9636
Vigenere (1),100,False negative,0.863,0.0,0.0,1.0,0.0,0.008000000000000007,0.987,0.0,1.0,1.0,0.0,0.41200000000000003,0.08499999999999996,1.0,0.23099999999999998,0.0,0.01200000000000001,0.387,0.007000000000000006,0.07599999999999996
Vigenere (1),1000,False negative,1.0,0.0,0.0,0.834,0.0,0.0,1.0,0.0020000000000000018,1.0,1.0,0.0,0.0,0.0,1.0,0.995,0.0,0.0,0.23299999999999998,0.31399999999999995,0.87
Vigenere (1),10000,False negative,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.55,1.0,1.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0,0.0,0.43000000000000005,1.0
Vigenere (1),100000,False negative,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Vigenere (5),10,False negative,0.0,0.0,0.32920000000000005,1.0,0.9293,0.9933,0.18710000000000004,0.0,0.9778,0.9947,0.06659999999999999,0.9469,0.9996,1.0,2.9999999999996696E-4,0.0,0.8317,0.03939999999999999,0.18679999999999997,0.9919
Vigenere (5),100,False negative,0.997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5860000000000001,0.14300000000000002,1.0,0.624,0.0,0.248,0.32399999999999995,0.0,0.0030000000000000027
Vigenere (5),1000,False negative,0.008000000000000007,1.0,0.0,0.888,0.0,0.0,1.0,0.052000000000000046,1.0,1.0,0.0,0.007000000000000006,0.0,1.0,1.0,0.0,0.0020000000000000018,0.0010000000000000009,0.0,0.0
Vigenere (5),10000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.81,1.0,0.06999999999999995,0.0,0.0,0.0,0.0
Vigenere (5),100000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Vigenere (10),10,False negative,0.0,0.0,0.33140000000000003,1.0,0.9308,0.9906,0.19810000000000005,0.0,0.9813,0.9977,0.0635,0.92,0.9996,1.0,9.999999999998899E-5,0.0,0.8617,0.05800000000000005,0.17910000000000004,0.9893
Vigenere (10),100,False negative,0.999,0.0,0.0,1.0,0.0010000000000000009,0.0,1.0,0.0,1.0,1.0,0.0,0.44199999999999995,0.16200000000000003,1.0,0.72,0.0,0.274,0.43799999999999994,0.0,0.0030000000000000027
Vigenere (10),1000,False negative,0.15600000000000003,1.0,0.0,0.554,0.0,0.0,1.0,0.15500000000000003,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0020000000000000018,0.008000000000000007,0.0,0.0
Vigenere (10),10000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.74,1.0,0.020000000000000018,0.0,0.0,0.0,0.0
Vigenere (10),100000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0
Affine,10,False negative,0.0,0.0,0.6725,1.0,0.9942,0.9999,0.1351,0.0,0.9945,0.9989,0.21350000000000002,0.9446,1.0,1.0,0.0,0.0,0.7491,0.053200000000000025,0.08950000000000002,0.9656
Affine,100,False negative,0.847,0.0,0.0,1.0,0.22899999999999998,0.17800000000000005,1.0,0.0,1.0,1.0,0.0,0.581,0.955,1.0,0.373,0.0,0.30600000000000005,0.43500000000000005,0.008000000000000007,0.09799999999999998
